ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7145331,HR554293,09/24/2009 04:50:00 PM,010XX E 62ND ST,0560,ASSAULT,SIMPLE,SIDEWALK,true,false,0314,003,20,42,08A,1184111,1864110,2009,02/28/2018 03:56:25 PM,41.782293453,-87.600538793,"(41.782293453, -87.600538793)"
7064019,HR435715,07/18/2009 01:23:00 PM,054XX S UNIVERSITY AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2131,002,4,41,03,1184718,1869696,2009,02/28/2018 03:56:25 PM,41.797607683,-87.598138262,"(41.797607683, -87.598138262)"
7227605,HR642720,11/14/2009 11:30:00 AM,051XX S BLACKSTONE AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,false,false,2124,002,4,41,03,1186787,1871342,2009,02/28/2018 03:56:25 PM,41.802075618,-87.590498872,"(41.802075618, -87.590498872)"
7206105,HR620928,11/01/2009 07:00:00 PM,054XX S WOODLAWN AVE,0330,ROBBERY,AGGRAVATED,STREET,true,false,2131,002,4,41,03,1185141,1869508,2009,02/28/2018 03:56:25 PM,41.797081858,-87.596592986,"(41.797081858, -87.596592986)"
7239614,HR652743,11/20/2009 03:08:00 PM,053XX S HARPER AVE,0460,BATTERY,SIMPLE,STREET,false,false,2132,002,4,41,08B,1187182,1870289,2009,02/28/2018 03:56:25 PM,41.799176734,-87.589083706,"(41.799176734, -87.589083706)"
7076083,HR482334,08/13/2009 10:01:00 PM,061XX S KIMBARK AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0314,003,20,42,08A,1185697,1864531,2009,02/28/2018 03:56:25 PM,41.783411475,-87.594710897,"(41.783411475, -87.594710897)"
7155659,HR564360,09/30/2009 04:08:00 PM,051XX S INGLESIDE AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,2124,002,4,41,03,1183412,1871263,2009,02/28/2018 03:56:25 PM,41.801938208,-87.602878669,"(41.801938208, -87.602878669)"
7473395,HS275757,04/25/2010 06:20:00 PM,061XX S KENWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0314,003,20,42,03,1186127,1864657,2010,02/10/2018 03:50:01 PM,41.783747083,-87.593130415,"(41.783747083, -87.593130415)"
7463636,HS266114,04/19/2010 09:05:00 PM,014XX E 54TH PL,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2131,002,4,41,03,1186601,1869336,2010,02/10/2018 03:50:01 PM,41.796575415,-87.591244512,"(41.796575415, -87.591244512)"
7352473,HS154105,02/06/2010 12:45:00 PM,011XX E 54TH ST,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,2131,002,4,41,03,1184514,1869823,2010,02/10/2018 03:50:01 PM,41.797960966,-87.598882371,"(41.797960966, -87.598882371)"
7472495,HS274304,04/24/2010 06:26:00 PM,015XX E 59TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,true,false,2132,002,5,41,03,1187484,1866177,2010,02/10/2018 03:50:01 PM,41.787885918,-87.588106937,"(41.787885918, -87.588106937)"
7353384,HS155256,02/07/2010 11:35:00 AM,050XX S DORCHESTER AVE,0331,ROBBERY,ATTEMPT: AGGRAVATED,SIDEWALK,false,false,2124,002,4,39,03,1186409,1871849,2010,02/10/2018 03:50:01 PM,41.803475819,-87.591869092,"(41.803475819, -87.591869092)"
7268855,HR682746,12/08/2009 06:15:00 PM,061XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,STREET,true,false,0313,003,20,42,08B,1182621,1864438,2009,02/28/2018 03:56:25 PM,41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
7425603,HS227846,03/27/2010 02:13:00 AM,061XX S COTTAGE GROVE AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,0313,003,20,42,04B,1182619,1864513,2010,02/10/2018 03:50:01 PM,41.783434083,-87.605996318,"(41.783434083, -87.605996318)"
7402475,HS203737,03/12/2010 09:04:00 AM,012XX E 53RD ST,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2131,002,4,41,08A,1185230,1870376,2010,02/10/2018 03:50:01 PM,41.799461623,-87.596239323,"(41.799461623, -87.596239323)"
7413983,HS214376,03/17/2010 04:00:00 PM,013XX E 53RD ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2131,002,4,41,08B,1185728,1870387,2010,02/10/2018 03:50:01 PM,41.799480075,-87.594412708,"(41.799480075, -87.594412708)"
7436867,HS237160,04/01/2010 09:16:00 PM,016XX E 50TH PL,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2132,002,4,39,08A,1187995,1871840,2010,02/10/2018 03:50:01 PM,41.803413431,-87.586052837,"(41.803413431, -87.586052837)"
